x,Curve1,Curve2,Curve3,Curve4,Curve5
0.02326,-0.015203,0.089544,0.243013,0.582325,0.829045
0.04414,-0.012645,0.095955,0.261119,0.589426,0.838156
0.07242,-0.009128,0.10765,0.285985,0.601119,0.848072
0.09049,-0.00685,0.116701,0.302687,0.609961,0.852916
0.1007,-0.005554,0.122156,0.31085,0.615372,0.855263
0.1075,-0.004687,0.125852,0.31598,0.619102,0.856711
0.11833,-0.003301,0.131716,0.323899,0.625149,0.858863
0.15527,0.001468,0.149722,0.350019,0.644923,0.865227
0.15758,0.001767,0.15068,0.351629,0.646043,0.865587
0.16606,0.00287,0.154038,0.357549,0.650014,0.866882
0.19558,0.006719,0.164498,0.376495,0.662476,0.871085
0.20912,0.008487,0.169069,0.384438,0.66794,0.872885
0.21621,0.009414,0.171464,0.388517,0.670832,0.873803
0.22251,0.010235,0.173593,0.392086,0.67344,0.874603
0.22357,0.010374,0.173953,0.392683,0.673885,0.874736
0.26234,0.015425,0.187189,0.413296,0.690493,0.87935
0.28107,0.01785,0.193579,0.421894,0.697756,0.881385
0.31984,0.022821,0.206638,0.437166,0.710267,0.885182
0.32822,0.023884,0.209399,0.440464,0.712663,0.88593
0.35807,0.027633,0.218938,0.453009,0.720632,0.888385
0.36407,0.028379,0.220797,0.455717,0.722149,0.88884
0.37731,0.030016,0.224845,0.462032,0.725421,0.8898
0.39073,0.031664,0.2289,0.469031,0.728657,0.890712
0.40518,0.033428,0.23327,0.476692,0.732072,0.891626
0.42508,0.035844,0.239368,0.485903,0.736704,0.892788
0.45453,0.039407,0.248254,0.496741,0.743508,0.89434
0.48218,0.042758,0.256146,0.506185,0.749899,0.895657
0.49231,0.043991,0.258908,0.509773,0.752206,0.896113
0.51905,0.047277,0.265982,0.520234,0.758089,0.897261
0.54982,0.051175,0.273967,0.533644,0.764333,0.898512
0.56072,0.052619,0.276825,0.538456,0.766384,0.898943
0.56891,0.053734,0.279022,0.542053,0.767869,0.899265
0.60443,0.058921,0.29005,0.557322,0.773896,0.900658
0.60728,0.059364,0.290924,0.55851,0.774361,0.900771
0.60739,0.059381,0.290958,0.558555,0.774379,0.900775
0.65454,0.067169,0.30503,0.57799,0.781967,0.902656
0.66479,0.068959,0.30825,0.58238,0.783638,0.903059
0.68436,0.072452,0.314829,0.590874,0.786914,0.903813
0.68644,0.072829,0.315578,0.591784,0.787271,0.903892
0.74186,0.083202,0.338699,0.616138,0.797381,0.905848
0.78927,0.092617,0.357746,0.637084,0.806594,0.907306
0.79936,0.094698,0.36257,0.641544,0.808563,0.907592
0.8024,0.09533,0.364072,0.642883,0.809153,0.907677
0.83766,0.102917,0.382502,0.658003,0.815643,0.908615
0.8453,0.104634,0.386649,0.660659,0.816918,0.908807
0.84677,0.104967,0.38745,0.660955,0.817157,0.908844
0.88478,0.114149,0.408605,0.685821,0.822866,0.909757
0.89476,0.116793,0.41429,0.693327,0.824252,0.909987
0.92304,0.125185,0.439156,0.714554,0.828021,0.910622
0.94158,0.132012,0.464021,0.728385,0.830401,0.911026
0.95495,0.138562,0.456718,0.738283,0.832083,0.911311
0.95907,0.141355,0.479877,0.741325,0.832598,0.911399
0.96013,0.142254,0.488887,0.742103,0.832729,0.911421
0.96909,0.291504,0.601153,0.748682,0.83384,0.91161
0.97773,0.812272,0.732294,0.754992,0.834903,0.91179
0.98092,0.849291,0.776104,0.757307,0.835293,0.911856
0.99095,0.904318,0.830762,0.764565,0.836517,0.912063
1.06037,0.946457,0.898274,0.812281,0.844819,0.913452
1.06489,0.946869,0.899836,0.815121,0.845352,0.913541
1.07646,0.947944,0.903388,0.822082,0.846712,0.913765
1.16649,0.956592,0.919587,0.849649,0.857135,0.915468
1.22657,0.962063,0.92547,0.862045,0.86395,0.916572
1.29282,0.967297,0.929904,0.876406,0.87131,0.917768
1.31546,0.96878,0.931096,0.880765,0.873775,0.918171
1.31572,0.968796,0.931108,0.880812,0.873803,0.918176
1.42048,0.973362,0.935469,0.895504,0.884425,0.919967
1.45995,0.974293,0.937022,0.899603,0.887754,0.92055
1.47041,0.974494,0.937448,0.900658,0.888556,0.920659
1.49997,0.974998,0.938683,0.903648,0.890712,0.920912
1.51632,0.975254,0.939382,0.905259,0.891877,0.921096
1.64394,0.977233,0.944421,0.915506,0.900533,0.922819
1.64501,0.97725,0.944455,0.915577,0.900601,0.922834
1.69336,0.978094,0.945895,0.918683,0.903598,0.923534
1.6941,0.978107,0.945915,0.918728,0.903642,0.923545
1.7497,0.979232,0.947379,0.922062,0.906841,0.924363
1.87725,0.982418,0.950389,0.929092,0.913838,0.926268
1.90772,0.983132,0.951121,0.930657,0.915577,0.926727
1.96358,0.984205,0.952355,0.933392,0.918879,0.927571
1.96475,0.984224,0.952378,0.933447,0.918949,0.927589
1.96544,0.984235,0.952391,0.93348,0.91899,0.927599
2.1505,0.985882,0.955619,0.940401,0.928507,0.930418
2.18894,0.986093,0.956218,0.941437,0.929816,0.931008
2.19812,0.986145,0.956356,0.941679,0.930092,0.931149
2.20676,0.986195,0.956484,0.941907,0.930341,0.931281
2.3838,0.987655,0.958759,0.946447,0.934475,0.934016
2.42225,0.988087,0.959225,0.947405,0.935769,0.934615
2.43048,0.988184,0.959327,0.947608,0.936099,0.934744
2.43154,0.988197,0.95934,0.947634,0.936143,0.934761
2.53926,0.989557,0.960721,0.950168,0.940442,0.936462
2.53941,0.989559,0.960723,0.950171,0.940447,0.936464
2.65559,0.990973,0.962121,0.952378,0.94323,0.93736
2.67362,0.991168,0.962313,0.952657,0.943588,0.937536
2.67468,0.991179,0.962324,0.952673,0.943608,0.937546
2.76313,0.991998,0.963138,0.953837,0.945245,0.938453
2.7726,0.992076,0.963216,0.953946,0.945415,0.938557
2.9168,0.993157,0.964305,0.95535,0.947395,0.939432
2.91786,0.993165,0.964313,0.955359,0.947401,0.93944
2.91819,0.993167,0.964316,0.955362,0.947403,0.939443
2.91848,0.99317,0.964318,0.955364,0.947405,0.939445
2.91877,0.993172,0.96432,0.955367,0.947406,0.939448
3.15131,0.995072,0.966302,0.957258,0.948395,0.941372
3.15197,0.995078,0.966309,0.957264,0.948399,0.941376
3.15998,0.995146,0.966384,0.957338,0.948451,0.941425
3.16137,0.995158,0.966397,0.957351,0.94846,0.941434
3.16195,0.995163,0.966402,0.957356,0.948464,0.941437
3.38476,0.996996,0.968292,0.959297,0.950384,0.942425
3.38542,0.997001,0.968296,0.959301,0.950389,0.94243
3.38571,0.997003,0.968298,0.959302,0.950391,0.942432
3.39482,0.997073,0.968352,0.95934,0.950457,0.942494
3.61861,0.998495,0.969251,0.95934,0.951382,0.944417
3.6189,0.998496,0.969252,0.959341,0.951383,0.944419
3.61916,0.998497,0.969253,0.959341,0.951384,0.944421
3.62798,0.998539,0.969286,0.959356,0.951409,0.94448
3.8521,0.999065,0.970248,0.960335,0.952292,0.945414
3.85265,0.999065,0.97025,0.960337,0.952296,0.945415
3.86146,0.999061,0.970281,0.960379,0.952371,0.94543
3.86212,0.99906,0.970283,0.960382,0.952378,0.945431
3.91011,0.998995,0.970281,0.960334,0.95337,0.945414
3.91048,0.998994,0.970282,0.960335,0.953371,0.945414
3.91074,0.998994,0.970283,0.960335,0.953372,0.945415
3.91103,0.998993,0.970285,0.960335,0.953373,0.945415
4.14426,0.997491,0.971254,0.961266,0.953372,0.946344
4.15333,0.997385,0.971275,0.961327,0.953378,0.946404
4.1537,0.997381,0.971276,0.961329,0.953379,0.946406
4.15424,0.997374,0.971277,0.961333,0.953379,0.94641
4.37774,0.993229,0.971272,0.963258,0.954367,0.948335
4.38685,0.992987,0.971275,0.963317,0.954449,0.948394
4.38715,0.992979,0.971276,0.963319,0.954452,0.948396
4.38769,0.992964,0.971276,0.963322,0.954457,0.948399
4.62092,0.983965,0.972202,0.96426,0.956356,0.949338
4.63007,0.983478,0.97227,0.964311,0.956385,0.949389
4.63036,0.983462,0.972272,0.964313,0.956386,0.949391
4.63091,0.983432,0.972276,0.964316,0.956388,0.949394
4.85445,0.966462,0.974104,0.966095,0.956356,0.951175
4.88298,0.963335,0.974259,0.9663,0.957344,0.951378
4.88327,0.963301,0.974261,0.966302,0.957347,0.95138
4.8836,0.963263,0.974262,0.966305,0.957351,0.951382
4.88382,0.963238,0.974263,0.966306,0.957353,0.951383
5.12623,0.91307,0.974259,0.967296,0.958343,0.952375
5.12649,0.912964,0.974259,0.967297,0.958344,0.952376
5.12682,0.912828,0.974258,0.967298,0.958345,0.952377
5.12704,0.912737,0.974257,0.967299,0.958346,0.952378
5.35079,0.528864,0.974207,0.96821,0.959297,0.953372
5.35976,0.522811,0.974259,0.968249,0.959338,0.953406
5.3603,0.522438,0.974263,0.968251,0.95934,0.953408
5.36971,0.516031,0.974325,0.968292,0.959383,0.953442
5.58428,0.354039,0.97621,0.969202,0.960263,0.954367
5.59321,0.346626,0.976249,0.969242,0.960296,0.954426
5.60319,0.338265,0.976285,0.969286,0.960333,0.954495
5.60352,0.337988,0.976286,0.969288,0.960335,0.954497
5.82746,0.13152,0.976243,0.970255,0.961267,0.956356
5.83646,0.122442,0.976249,0.97028,0.961326,0.956427
5.83668,0.12222,0.976249,0.970281,0.961327,0.956428
5.83701,0.121886,0.976249,0.970282,0.961329,0.956431
5.86561,0.092601,0.977243,0.970318,0.961573,0.95635
5.87611,0.081693,0.977344,0.970307,0.961689,0.956356
5.93398,0.020017,0.977654,0.970281,0.962267,0.956553
5.944,0.009065,0.977693,0.970306,0.962324,0.956595
6.0991,-0.170834,0.978238,0.970936,0.962897,0.957303
6.1096,-0.183734,0.978279,0.970987,0.962943,0.957351
6.16747,-0.256523,0.978529,0.971275,0.963252,0.957609
6.17749,-0.269423,0.978575,0.971328,0.963319,0.957653
6.34232,-0.49427,0.979232,0.972129,0.964809,0.958342
6.34308,-0.495375,0.979234,0.972132,0.964816,0.958345
6.39122,-0.565708,0.979313,0.97227,0.965192,0.958546
6.41094,-0.595134,0.979329,0.972307,0.965308,0.958629
6.57657,-0.856889,0.979242,0.972323,0.965478,0.95934
6.58557,-0.871869,0.979232,0.972315,0.965462,0.959379
6.63448,-0.954687,0.97918,0.97227,0.965355,0.959595
6.65419,-0.988748,0.979162,0.972251,0.965308,0.959682
6.80033,-1.25352,0.979178,0.97218,0.965075,0.960335
